Airborne Admin OS — Master Gap Matrix
Airborne Admin OS — Master Gap Matrix (Phase 6 Audit)
Full remaining-functionality audit • C:\Users\pc\Desktop\Airbone\admin • Read-only (no code modified) • Next.js 15 App Router, Prisma/PostgreSQL, NextAuth, TanStack Query, Zod, Inngest
Method: end-to-end tracing of all 69 Prisma models, ~190 API route files, 22 services, 17 repositories, 20 validation schemas, all dashboard/faculty/portal pages, Inngest functions, plus live verification from Phases 1–5.
Legend
ROW: STATUS | Meaning |  | PRIORITY | Meaning |
ROW: WORKING | Full trace UI→API→validation→RBAC→service→repo→Prisma→DB works with real data |  | P0 | Production blocker (broken core feature / security) |
ROW: PARTIAL | Real end-to-end but a meaningful piece is missing |  | P1 | Core functionality incomplete |
ROW: BROKEN | Trace fails (missing route/UI, method mismatch, wrong enum, security gap) |  | P2 | Important but non-blocking |
ROW: PLACEHOLDER | Fake/hardcoded surface or honest "not connected" stub |  | P3 | Polish / future |
ROW: NOT_CONFIGURED | External provider / engine exists but no credentials or not activated |  |  |  |
ROW: DEAD | No consumer (route/service/model/UI unused) |  |  |  |
ROW: DEFERRED | Intentionally out of scope |  |  |  |
Master Admin OS Gap Matrix
1. Dashboard
ROW: MODULE | ROUTE | CAPABILITY | UI | API | VALIDATION | RBAC | DB | REAL DATA | STATUS | PRIORITY | REQUIRED FIX |
ROW: Dashboard | / | KPI cards + revenue | (dashboard)/page.tsx:39-67 | api/v1/dashboard/stats/route.ts:9-57 | – | guard("read","analytics") | real | yes | WORKING | – | – |
ROW: Dashboard | / | Recent leads + quick actions | page.tsx:40-48,125-206 | /api/v1/leads | y | y | real | yes | WORKING | – | – |
ROW: Dashboard | /crm/dashboard | Alias | redirect page | – | – | – | – | – | DEAD | P3 | Intentional redirect to /; keep documented |
2. Leads / CRM
ROW: MODULE | ROUTE | CAPABILITY | UI | API | VALIDATION | RBAC | DB | REAL DATA | STATUS | PRIORITY | REQUIRED FIX |
ROW: Leads | /leads | List + create | leads/page.tsx | api/v1/leads/route.ts GET/POST | y | guard+org+counselor scope | real | yes | WORKING | – | – |
ROW: Leads | /leads/[id] | Detail, PATCH, soft-delete | leads/[id]/page.tsx | api/v1/leads/[id]/route.ts | y | guardRecord ABAC | real | yes | WORKING | – | – |
ROW: Leads | /leads/[id] | Timeline activities CRUD | detail page | leads/[id]/activities/** | y | y | real | yes | WORKING | – | – |
ROW: Leads | /leads/[id] | Assign counselor | detail page | leads/[id]/assign | y | y | real | yes | WORKING | – | – |
ROW: Leads | /leads/[id] | Convert → Admission | detail page | leads/[id]/convert | y | y | real | yes | WORKING | – | – |
ROW: Leads | /leads/[id] | Follow-up scheduling | detail page | leads/[id]/follow-up | y | y | real | yes | WORKING | – | – |
ROW: Leads | list | Scoring + dedup | badge | lead.service.ts:369-418,29-39 | y | y | real | yes | WORKING | – | – |
ROW: CRM | /crm/deals | Pipeline (admission-funnel derived) | crm/deals/page.tsx | api/v1/crm/deals/route.ts:78-83 | y | y | real | yes | DEFERRED | P3 | Honest deals:false; real deals need new Opportunity model+FK. Relabel UI "Admission Funnel" |
ROW: CRM | /crm/pipeline | Alias → /crm/deals | redirect | – | – | – | – | – | DEAD | P3 | Intentional alias |
ROW: CRM | /crm/leads | Alias → /leads | redirect | – | – | – | – | – | DEAD | P3 | Intentional alias |
ROW: CRM | /crm/analytics | Totals/monthly/bySource/byStatus/byCounselor | crm/analytics/page.tsx | api/v1/crm/analytics/route.ts:26-229 | y | guard+counselor ABAC:32-35 | real | yes | WORKING | – | – |
ROW: CRM | /crm/meetings | Meeting CRUD (leadActivity) | crm/meetings/page.tsx | api/v1/crm/meetings/route.ts | y | guard+counselor scope | real | yes | WORKING | – | – |
ROW: CRM | /crm/outreach | Template CRUD + delivery logs | crm/outreach/page.tsx:343-432 | api/v1/crm/outreach/route.ts | y | guard("notifications") | real | yes | WORKING | – | Logs empty until Inngest active (see §20) |
3. Admissions
ROW: MODULE | ROUTE | CAPABILITY | UI | API | VALIDATION | RBAC | DB | REAL DATA | STATUS | PRIORITY | REQUIRED FIX |
ROW: Admissions | /admissions | Kanban + drag-drop | admissions/page.tsx (dnd-kit) | api/v1/admissions/route.ts GET/POST | y + STAGE_TRANSITIONS | guard+counselor filter | real | yes | WORKING | – | – |
ROW: Admissions | /admissions | Detail/update | card dialog | api/v1/admissions/[id]/route.ts | y | guardRecord | real | yes | WORKING | – | – |
ROW: Admissions | /admissions | Stage transitions (+auto Student on ENROLLED, lead CONVERTED) | stage-log dialog | admissions/[id]/stage | y | y | real | yes | WORKING | – | – |
ROW: Admissions | /admissions | Fee-plan picker + balance recalc | admissions/page.tsx:504-570 | admission.service.ts:48-117 | y | y | real | yes | WORKING | – | – |
ROW: Admissions | /admissions | applicationNo generator | – | admission.repository.ts:137-142 | – | y | real | yes | WORKING | P3 | count+1 non-atomic (unique constraint backs it) |
4. Students
ROW: MODULE | ROUTE | CAPABILITY | UI | API | VALIDATION | RBAC | DB | REAL DATA | STATUS | PRIORITY | REQUIRED FIX |
ROW: Students | /students | List + create | students/page.tsx | api/v1/students/route.ts GET/POST | y | guard+org | real | yes | WORKING | – | – |
ROW: Students | /students/[id] | Detail/update/soft-delete | students/[id]/page.tsx | api/v1/students/[id]/route.ts | y | guardRecord ABAC | real | yes | WORKING | – | – |
